Image Name,IoU,Precision,Recall,F1,Accuracy
1108_3.png,0.9890240418615855,0.9894095949985754,0.9996061505945768,0.9944817368179512,0.9983678331227477
1108_4.png,0.9825606327726688,0.9843794753201014,0.9981230302573977,0.9912036146894827,0.9998313061391045
1108_5.png,0.9550281855436058,0.9551690740693229,0.9998455769547104,0.976996845984658,0.9996408725866638
1108_2.png,0.9863448791438444,0.988470457276095,0.9978246016603929,0.9931255035318733,0.9996707294539686
1094_5.png,0.9844416164122504,0.9974881704778256,0.986888088575602,0.9921598179260732,0.9984425777159405
1094_2.png,0.9796295324246613,0.9851861040946508,0.9942755530509517,0.9897099597466659,0.9982113022223752
1101_5.png,0.9915815899923506,0.9972637849819894,0.9942866708202899,0.9957730026979805,0.999261388218347
998_7.png,0.9919950522655844,0.9943339541169632,0.9976343982274355,0.9959814419592503,0.9997607097556059
998_9.png,0.8605137476052994,0.8717335447190029,0.9852634505769499,0.9250280990536964,0.9997352571603221
998_8.png,0.9838335752868439,0.9878066104744767,0.9959284760505174,0.9918509168740031,0.9997191252337337
998_6.png,0.9854350061411562,0.9900114100059951,0.9953310019847967,0.9926640792502436,0.999302511828031
1108_7.png,0.9536232760935249,0.9658243830324509,0.9869259900412102,0.9762611735466163,0.9990578954872394
1108_9.png,0.9446216955332726,0.9490048232492826,0.9951343651466893,0.9715223250908238,0.9999066652818817
1108_8.png,0.9621899820328111,0.9655737787790908,0.9963710659015823,0.98073070481788,0.9994234244587457
1108_1.png,0.9750095364036314,0.9794055662702924,0.9954175840152868,0.987346661808087,0.9997483675514542
1108_6.png,0.9894722626639073,0.9900414178940203,0.9994193405575322,0.9947082763938634,0.9984070618712133
998_10.png,0.9861855328468205,0.9879762758787928,0.9981654453315834,0.9930447247124093,0.9997544874410647
1095_2.png,0.9843165809629909,0.9974175705533248,0.9868315304631068,0.9920963120565178,0.9986939797083921
1095_4.png,0.9877281883873326,0.9917967594967263,0.9958639878525093,0.9938262124145737,0.9997385603643377
